LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M,WS10M,WS50M,WS10M_MAX,WS50M_MAX,WS50M_MIN,WS10M_MIN,ALLSKY_SFC_LW_DWN
14.10001,77.28001,1997,2,6,0,0.008593,42.04,94.81,27.09,10.55,10.56,34.05,15.97,24.63,2.67,4.37,4.39,7.27,1.09,1.13,8.77
14.10001,77.28001,1997,2,7,0,0.008006,38.08,94.81,27.17,9.51,9.52,34.41,17.15,25.1,2.39,3.57,4.42,7.49,0.4,0.58,8.76
14.10001,77.28001,1997,2,8,0,0.008308,40.06,94.66,26.84,9.5,9.52,34.63,16.61,24.85,2.26,3.35,3.42,5.88,0.73,0.32,8.87
14.10001,77.28001,1997,2,9,0,0.005664,28.66,94.56,25.25,3.85,3.92,34.04,14.85,24.05,2.72,4.01,3.89,5.94,0.88,0.52,8.24
14.10001,77.28001,1997,2,10,0,0.006032,30.99,94.57,25.54,4.81,4.86,34.08,14.02,23.79,2.64,4.08,3.87,6.44,1.36,1.29,8.68
14.10001,77.28001,1997,2,11,0,0.00854,42.97,94.76,26.03,10.44,10.45,33.41,15.68,24.15,3.37,5.13,4.9,8.43,2.03,1.68,9.09
14.10001,77.28001,1997,2,12,0,0.006061,31.54,94.94,25.11,3.84,3.98,33.13,16.02,23.64,4.3,6.54,5.91,8.51,3.15,2.34,8.29
14.10001,77.28001,1997,2,13,0,0.007224,39.55,94.92,24.52,7.61,7.64,32.56,13.63,22.79,4.16,6.44,5.82,8.25,2.93,2.67,8.73
14.10001,77.28001,1997,2,14,0,0.006664,34.59,94.81,25.28,6.41,6.45,33.79,15,23.66,3.64,5.67,5,8.53,1.85,1.55,7.56
14.10001,77.28001,1997,2,15,0,0.004622,23.89,94.79,25.26,0.45,0.64,34.68,14.02,23.74,3.58,5.64,4.37,7.89,3.44,2.82,7.83
14.10001,77.28001,1997,2,16,0,0.004529,22.46,94.79,26.21,0.84,0.96,35.63,13.96,24.44,2.73,4.29,4.27,7.39,1.25,1.1,8.62
14.10001,77.28001,1997,2,17,0,0.003866,18.78,94.76,26.29,-0.87,-0.73,35.81,14.74,24.79,2.64,4.01,3.69,6.31,1.82,1.61,9.34
14.10001,77.28001,1997,2,18,0,0.004962,23.58,94.72,27.25,2.57,2.63,35.79,15.04,25.14,2.58,4.27,4.17,7.35,0.62,0.79,9.46
14.10001,77.28001,1997,2,19,0,0.006552,30.68,94.77,27.67,6.5,6.53,35.83,15.65,25.37,2.05,3.23,2.82,5.16,1.37,0.61,8.88
14.10001,77.28001,1997,2,20,0,0.006645,31,94.94,27.17,6.59,6.62,34.71,16.12,25.46,2.62,3.8,3.5,6.39,1.85,1.08,8.63
14.10001,77.28001,1997,2,21,0,0.006116,28.87,94.97,27.32,5.42,5.45,34.81,15.62,25.28,2.52,3.78,3.27,6.6,1.76,1.72,8.84
14.10001,77.28001,1997,2,22,0,0.008454,36.93,94.88,29.46,10.31,10.32,35.57,17.55,26.55,2.86,4.69,4.05,7.13,0.41,0.28,9.38
14.10001,77.28001,1997,2,23,0,0.009169,39.1,94.94,29.62,11.65,11.65,35.07,18.7,26.97,3.56,5.02,6.54,9.07,2.45,2.02,9.38
14.10001,77.28001,1997,2,24,0,0.00865,38.17,95.05,28.59,10.26,10.27,34.61,19.11,26.41,4.28,6.1,5.52,8.56,4.3,2.2,8.96
14.10001,77.28001,1997,2,25,0,0.007362,34.71,95.07,27.2,7.89,7.92,34.12,17.08,25.3,4.74,6.91,6.43,9.2,3.39,2.54,8.2
14.10001,77.28001,1997,2,26,0,0.005737,26.69,94.96,27.37,4.77,4.8,35.21,16.48,25.53,4.44,6.86,5.86,9.28,4.49,3.12,8.09
14.10001,77.28001,1997,2,27,0,0.00602,26.7,94.9,28.14,5.46,5.48,36.28,16.91,26.32,4.15,6.58,5.41,8.72,3.12,2.57,8.35
14.10001,77.28001,1997,2,28,0,0.005972,25.71,94.91,28.4,5.29,5.32,36.58,17.55,26.83,4.69,7.16,6.5,9.13,3.74,2.81,8.52
14.10001,77.28001,1997,3,1,0,0.006066,26.05,94.89,28.8,5.46,5.49,36.11,17.98,26.87,4.31,6.55,6.04,9.43,3.03,2.36,8.47
14.10001,77.28001,1997,3,2,0,0.00633,27.38,94.92,28.74,5.78,5.81,36.16,17.84,26.75,4.87,7.1,6.64,9.98,4.66,3.35,8.25
14.10001,77.28001,1997,3,3,0,0.005533,24.89,95.02,27.74,3.66,3.73,35.77,16.85,26.11,5.19,7.72,6.99,10.26,4.69,3.34,8.21
14.10001,77.28001,1997,3,4,0,0.004548,20.9,95.05,27.52,-0.54,-0.29,36.49,15.19,25.76,4.64,6.99,7.05,11.11,4.09,2.89,7.65
14.10001,77.28001,1997,3,5,0,0.003725,16.83,95.01,27.64,-1.76,-1.56,36.36,16.01,26.05,4.99,7.48,6.83,10.74,4.31,3.05,8.66
14.10001,77.28001,1997,3,6,0,0.004547,21.42,95.05,26.71,0.93,1.06,35.38,15.56,25.34,5.43,7.98,8.98,10.41,3.75,2.98,8.23
14.10001,77.28001,1997,3,7,0,0.005166,24.49,95.08,26.61,2.61,2.71,35.69,15.37,25.24,5.03,7.53,8.2,9.74,3.5,2.79,8.43
14.10001,77.28001,1997,3,8,0,0.004902,22.7,95.04,27.16,1.85,1.96,36.5,14.96,25.62,4.69,7.26,7.27,9.47,3.72,2.93,8.58
14.10001,77.28001,1997,3,9,0,0.005144,21.59,94.96,28.69,2.98,3.04,37.74,17.24,27.28,4.33,6.66,6.53,9.32,3.38,2.53,8.49
14.10001,77.28001,1997,3,10,0,0.005632,22.08,94.92,30.05,4.4,4.43,38.46,18.93,28.44,4.68,7.25,6.19,9.98,3.67,2.82,8.66
14.10001,77.28001,1997,3,11,0,0.005105,19.36,94.96,30.64,3.16,3.19,39.24,19.7,29.02,4.56,7.2,5.8,9.65,4.27,3.33,8.57
14.10001,77.28001,1997,3,12,0,0.005928,22.31,94.89,31.4,5.41,5.43,38.67,20.27,29.14,3.26,5.08,5.86,8.49,1.91,1.8,9.02
14.10001,77.28001,1997,3,13,0,0.007763,27.74,94.72,32.18,9.08,9.08,38.65,20.41,29.99,2.73,3.86,4.3,6.99,1.5,0.85,9.41
14.10001,77.28001,1997,3,14,0,0.006732,23.14,94.61,33.08,6.97,6.99,38.92,22.2,30.66,2.25,3.28,3.19,5.47,1.47,1.34,8.87
14.10001,77.28001,1997,3,15,0,0.007952,26.93,94.71,33.36,9.39,9.4,39.35,22.88,30.93,3.52,5.22,5.66,7.21,2.12,2.12,9.85
14.10001,77.28001,1997,3,16,1.43,0.008289,27.08,94.76,34.43,10.22,10.22,39.62,23.8,31.57,3.13,5,4.36,7.85,1.1,0.82,9
14.10001,77.28001,1997,3,17,0,0.007704,25.69,94.74,33.92,8.96,8.96,39.97,23.38,31.2,3.28,5.1,4.95,7.49,1.78,1.53,9.77
14.10001,77.28001,1997,3,18,0,0.008422,27.9,94.79,34.27,10.4,10.4,39.5,23.64,31.32,3.29,5.03,5.41,8.67,1.04,1.12,9.8
14.10001,77.28001,1997,3,19,0.85,0.009277,30.29,94.69,34.61,11.92,11.92,39.11,23.75,31.55,2.65,4.02,4.68,7.51,0.17,0.15,9.38
14.10001,77.28001,1997,3,20,0.02,0.010539,34.19,94.63,34.6,13.63,13.63,38.56,25.19,31.64,2.74,3.81,4.98,7.01,1.26,1.11,9.75
14.10001,77.28001,1997,3,21,0.98,0.009561,31.66,94.68,33.96,11.81,11.81,38.57,24.21,31.3,3.31,4.4,5.48,7.06,1.71,1.09,9.53
14.10001,77.28001,1997,3,22,0.32,0.008233,28.35,94.6,32.77,9.93,9.94,38.47,21.95,30.61,2.86,3.86,4.95,7.71,0.92,0.53,9.42
14.10001,77.28001,1997,3,23,0.3,0.009405,30.67,94.49,34.79,12.02,12.02,38.7,24.66,31.54,2.73,3.98,4.71,6.98,1.41,1.28,9.53
14.10001,77.28001,1997,3,24,0.78,0.009272,31.93,94.56,33.71,11.73,11.73,37.31,24.28,30.59,2.76,3.84,5.02,7.39,0.68,0.48,9.23
14.10001,77.28001,1997,3,25,0.03,0.009777,33.35,94.55,33.87,12.66,12.67,36.88,23.3,30.75,2.08,3.21,3.99,6.88,0.76,0.6,9.25
14.10001,77.28001,1997,3,26,0,0.00922,30.68,94.58,34.46,11.8,11.8,38.31,23.62,31.19,3.18,4.08,6.72,8.88,1.45,0.95,9.03
14.10001,77.28001,1997,3,27,0,0.009208,32.16,94.68,33.15,11.51,11.52,38.32,22.89,30.37,4.18,5.61,5.84,8.92,3.6,2.01,8.95
14.10001,77.28001,1997,3,28,0.02,0.009566,33.19,94.59,33.7,12.14,12.14,38.23,22.32,30.46,3.62,5.11,5.64,8.55,2.48,2.4,9.16
14.10001,77.28001,1997,3,29,0.02,0.010682,35.27,94.53,34.8,13.91,13.91,38.53,23.44,31.31,3.13,4.26,5.7,6.58,1.13,1.15,9.82
14.10001,77.28001,1997,3,30,0.51,0.010258,33.66,94.57,34.76,13.46,13.46,38.03,25.01,31.43,2.13,2.78,3.95,5.42,0.74,0.77,9.91
14.10001,77.28001,1997,3,31,1.09,0.010956,36.14,94.58,35.1,14.35,14.35,37.27,25.11,31.33,2.48,3.42,5.02,6.85,0.61,0.48,9.78
14.10001,77.28001,1997,4,1,0.62,0.009781,32.44,94.44,34.74,12.52,12.52,37.77,24.88,31.22,2.9,3.82,5.05,6.89,1.02,0.7,9.7
14.10001,77.28001,1997,4,2,0.23,0.009837,34.65,94.4,33.75,12.59,12.6,37.54,22.13,30.16,3.17,4.19,5.15,7.19,0.8,0.57,9.44
14.10001,77.28001,1997,4,3,0.15,0.010077,37.22,94.52,32.88,13.02,13.02,35.98,23.07,29.35,2.04,2.83,3.42,5.12,0.58,0.53,9.02
14.10001,77.28001,1997,4,4,0.86,0.010423,36.33,94.53,34.28,13.59,13.6,37.46,22.46,30.36,2.76,3.79,4.65,6.17,1.15,1.11,9.58
14.10001,77.28001,1997,4,5,1.22,0.011511,40.05,94.59,34.27,15,15,36.96,23.74,30.39,2.73,3.56,5.95,7.36,0.63,0.41,9.16
14.10001,77.28001,1997,4,6,11.34,0.013457,54.97,94.74,30.03,17.73,17.73,33.83,22.76,27.62,3.7,4.9,5.86,8.03,1.49,1.52,8.68
14.10001,77.28001,1997,4,7,0.02,0.011936,50.49,94.7,28.99,15.62,15.63,34.81,20.26,27.03,3.43,5.27,4.28,6.95,3.77,2.33,8.64
14.10001,77.28001,1997,4,8,0,0.01105,43.9,94.68,30.78,14.57,14.57,35.79,19.81,28.11,2.65,4.05,5.64,7.49,0.18,0.19,10.35
14.10001,77.28001,1997,4,9,0.57,0.011727,42.67,94.67,32.22,15.46,15.46,36.74,22.52,29.62,2.48,3.72,4.89,6.87,2.15,1.08,10.63
14.10001,77.28001,1997,4,10,0.08,0.009496,35.8,94.71,30.98,11.96,11.97,37.04,22.16,29.04,3.92,5.37,5.49,7.55,1.94,1.28,9.07
14.10001,77.28001,1997,4,11,0.04,0.00813,31.25,94.73,30.89,9.9,9.91,37.54,19.76,28.72,3.2,4.51,4.98,7.29,0.48,0.36,9.48
14.10001,77.28001,1997,4,12,0.02,0.009626,34.97,94.68,32.19,12.47,12.47,37.84,21.07,29.67,2.94,4.06,4.65,6.17,0.88,0.41,9.79
14.10001,77.28001,1997,4,13,0.09,0.009961,35.14,94.62,33.04,12.8,12.8,37.93,22.56,30.17,3.62,5.07,5.99,7.09,2.58,1.96,10.33
14.10001,77.28001,1997,4,14,0,0.009468,32.53,94.64,33.76,12.18,12.18,37.9,22.41,30.64,2.38,3.37,4.98,6.43,1.57,1.05,10.63
14.10001,77.28001,1997,4,15,0,0.010846,36.43,94.68,34.2,14.34,14.34,36.95,25.05,31.03,2.59,3.46,4.54,5.24,0.52,0.49,9.96
14.10001,77.28001,1997,4,16,0,0.01094,37.62,94.66,33.57,14.42,14.42,36.96,24.94,30.61,3.43,4.38,6.36,8.1,0.68,0.33,9.88
14.10001,77.28001,1997,4,17,1.88,0.010744,38.83,94.71,33.22,14.13,14.14,36.45,22.91,29.76,2.95,4.02,5.84,7.46,0.55,0.44,9.84
14.10001,77.28001,1997,4,18,0.4,0.010708,37.27,94.73,33.77,14.07,14.07,37.34,22.64,30.42,2.67,3.77,5.22,7.02,0.99,1.01,9.71
14.10001,77.28001,1997,4,19,1.61,0.010867,37.26,94.74,34.26,14.33,14.33,37.42,23.79,30.68,3.29,4.24,5.62,7.29,0.45,0.45,9.01
14.10001,77.28001,1997,4,20,0.02,0.010562,37.86,94.72,32.55,13.81,13.81,37.14,23.5,29.9,4.18,5.47,5.34,8.29,2.78,2.58,9.44
14.10001,77.28001,1997,4,21,0,0.009705,35.34,94.61,32.35,12.53,12.53,37.51,21.85,29.62,4.68,6.23,6.12,9.18,3.61,3.27,9.18
14.10001,77.28001,1997,4,22,0,0.009293,33.23,94.6,33.25,11.82,11.82,37.62,21.99,29.94,3.84,5.27,6.12,8.7,1.7,1.56,9.14
14.10001,77.28001,1997,4,23,0.03,0.008093,30.2,94.73,31.08,9.55,9.56,36.19,22.86,29.23,4,5.82,5.37,8.1,2.78,2.46,9.27
14.10001,77.28001,1997,4,24,0.05,0.007382,26.93,94.67,31.84,8.11,8.12,38.68,20.5,29.63,4.44,6.54,5.76,9.05,2.3,1.97,9.03
14.10001,77.28001,1997,4,25,0,0.007435,25.48,94.54,32.88,8.4,8.41,39.52,21.9,30.69,4.57,6.83,5.71,9.46,3.52,3.02,9.59
14.10001,77.28001,1997,4,26,0,0.008204,27.83,94.56,33.58,10,10.01,38.95,22.56,30.86,4.07,5.84,5.33,8.48,1.78,1.39,10.09
14.10001,77.28001,1997,4,27,0,0.008483,28.14,94.57,34.22,10.49,10.49,39.06,23.37,31.25,3.26,4.88,4.38,7.46,2.05,1.77,9.69
14.10001,77.28001,1997,4,28,0.02,0.010722,36.57,94.59,32.97,14.1,14.1,36.2,24.82,30.75,2.76,4.18,4.99,6.39,1.45,1.13,10.17
14.10001,77.28001,1997,4,29,0.21,0.010284,34.58,94.59,33.52,13.5,13.5,37.5,24.7,31,3.16,4.63,4.68,7.93,1.53,1.33,10.06
14.10001,77.28001,1997,4,30,0.15,0.011374,37.73,94.68,33.88,15.11,15.11,37.88,24.45,31.25,4.43,5.87,6.29,8.25,3.47,1.82,9.93
14.10001,77.28001,1997,5,1,2.24,0.012032,40.18,94.69,33.79,15.95,15.95,36.92,25.28,31.12,3.03,4.15,4.09,5.99,2.81,2.24,9.95
14.10001,77.28001,1997,5,2,0.98,0.012713,42.35,94.61,33.83,16.83,16.83,36.54,25.82,31.15,2.2,2.84,4.38,5.07,1.14,0.64,10.11
14.10001,77.28001,1997,5,3,5.01,0.013777,50.22,94.57,32.1,18,18,34.46,24.65,29.55,1.36,1.91,2.53,3.3,0.32,0.15,10.32
14.10001,77.28001,1997,5,4,0.01,0.014104,51.62,94.47,31.77,18.39,18.39,34.12,24.62,29.46,1.87,2.68,3.53,5.34,0.4,0.34,10.24
14.10001,77.28001,1997,5,5,8.09,0.013908,52.15,94.41,31.61,18.14,18.14,35.43,24.17,29.03,2.77,3.7,4.1,5.43,2.2,1.8,10.44
14.10001,77.28001,1997,5,6,11.19,0.015407,62.93,94.46,29.61,19.79,19.79,33.38,22.57,27.55,2.84,3.93,5.59,8.17,1.48,0.76,10.09
14.10001,77.28001,1997,5,7,0.26,0.01426,55.51,94.48,30.67,18.5,18.5,35.65,21.67,28.39,3.37,4.82,5.6,8.28,3.33,1.92,9.53
14.10001,77.28001,1997,5,8,7.95,0.014402,55.51,94.53,30.43,18.69,18.69,35.36,22.3,28.57,3.24,4.84,5.38,8.43,1.38,1.06,9.76
14.10001,77.28001,1997,5,9,0.02,0.013639,50.05,94.42,31.49,17.76,17.76,36.65,22.51,29.41,3.03,4.49,5.35,8.34,1.45,1.25,9.58
14.10001,77.28001,1997,5,10,0.1,0.012827,45.24,94.28,32.22,16.76,16.76,37.55,22.31,30.08,2.64,4.08,4.08,6.56,0.46,0.68,10.65
14.10001,77.28001,1997,5,11,1.05,0.013287,44.51,94.31,33.27,17.28,17.28,38.18,23.52,30.99,2.48,3.74,4.29,5.97,0.58,0.31,10.3
14.10001,77.28001,1997,5,12,0.19,0.013827,46.82,94.34,33.36,18.01,18.01,37.6,23.87,30.8,2.64,3.89,5.05,7.86,0.46,0.3,10
14.10001,77.28001,1997,5,13,2.79,0.014522,49.13,94.35,32.89,18.77,18.77,37.08,24.52,30.81,2.67,3.45,5.32,7.58,1.13,0.64,10.5
14.10001,77.28001,1997,5,14,4.88,0.014472,49.35,94.39,33.05,18.69,18.69,36.63,24.01,30.67,2.21,3.22,4.34,6.75,0.12,0.03,10.09
14.10001,77.28001,1997,5,15,0.41,0.012926,46.64,94.47,31.5,16.93,16.93,36.67,23.82,29.72,3.34,4.8,4.86,7.21,1.24,1.02,10.59
14.10001,77.28001,1997,5,16,0,0.013392,47.32,94.42,32.21,17.5,17.5,37.78,22.89,30.07,4.32,5.8,5.35,7.26,4.53,2.65,10.27
